Date,Open,Close,Low,High
24/01/2017,505.19,508.93,504.5,510.14
25/01/2017,512.62,503.56,503.26,512.62
27/01/2017,505.04,507.74,504.7,509.62
30/01/2017,507.74,517.15,507.62,517.97
31/01/2017,518.56,516.78,515.47,521.98
01/02/2017,517.67,519.65,512.47,520.47
02/02/2017,518.59,517.45,514.38,520.05
03/02/2017,517.45,511.98,510.66,520.1
06/02/2017,513.14,515.15,511.38,517.03
07/02/2017,515.24,510.49,508.95,515.47
08/02/2017,510.71,507.99,506.68,514.33
09/02/2017,508.16,511.48,508.16,512.35
10/02/2017,512.62,510.29,508.14,513.07
13/02/2017,512.12,509.33,506.18,512.62
14/02/2017,511.8,519.18,510.74,521.29
15/02/2017,521.54,520.5,518.09,523.76
16/02/2017,521.04,527.45,521.04,528.47
17/02/2017,527.97,532.6,524.51,533.87
20/02/2017,529.95,531.79,528.1,533.42
21/02/2017,531.09,538.99,531.09,540.13
22/02/2017,540.88,598.13,540.88,600.29
23/02/2017,601.23,585.72,584.04,605.39
27/02/2017,587.9,613.46,587.9,622.33
28/02/2017,613.06,613.29,608.48,618.04
01/03/2017,615.14,611.26,609.32,616.58
02/03/2017,612.17,610.81,607.05,621.09
03/03/2017,612.67,623.29,612.67,637.83
06/03/2017,628.02,646.3,626.76,648.77
07/03/2017,651.87,646.25,642.19,657.12
08/03/2017,647.36,639.86,636.94,648.82
09/03/2017,638.82,637.61,634.81,642.88
10/03/2017,640.87,634.66,624.8,642.14
14/03/2017,651.77,638.62,636.57,653.33
15/03/2017,638.62,646.05,635.57,651.8
16/03/2017,649.32,642.56,641.2,649.32
17/03/2017,646.35,644.19,643.15,653.7
20/03/2017,644.37,634.14,632.55,646.35
21/03/2017,636.74,625.94,623.91,636.74
22/03/2017,621.43,623.81,617.89,627.03
23/03/2017,627.48,631.04,623.19,632.85
24/03/2017,631.04,637.04,628.22,639.73
27/03/2017,627.8,619.48,617.67,633.22
28/03/2017,621.61,616.95,612.67,625.72
29/03/2017,619.13,621.43,611.23,624.06
30/03/2017,621.58,628.69,621.11,630.4
31/03/2017,629.01,653.38,628.49,661.7
03/04/2017,659.72,679.13,659.72,683.49
05/04/2017,687.46,700.78,683.89,702.29
06/04/2017,698.2,712.39,694.74,717.42
07/04/2017,705.34,696.15,694.71,710.11
10/04/2017,701.32,684.01,682.5,705.63
11/04/2017,686.47,680.57,679.04,693.55
12/04/2017,687.85,670.69,669.15,687.85
13/04/2017,669.63,675.74,667.64,680.03
17/04/2017,677.4,688.94,676.06,690.55
18/04/2017,691.17,678.76,677.72,698.35
19/04/2017,679.04,678.47,672.72,684.83
20/04/2017,681.76,678.24,676.31,686.91
21/04/2017,681.12,693.28,680.05,703.3
24/04/2017,698.35,701.52,693.45,710.11
25/04/2017,722.97,709.5,707.09,725.59
26/04/2017,710.78,701.5,694.96,713.21
27/04/2017,703.3,697.39,694.76,705.63
28/04/2017,697.88,690.82,688.69,703.7
02/05/2017,693.45,678.99,676.93,694.39
03/05/2017,681.14,678.66,676.06,683.74
04/05/2017,680.08,672.97,670.94,683.25
05/05/2017,674.08,658.04,656.28,677.38
08/05/2017,658.04,654.74,653.78,663.48
09/05/2017,655.26,659.03,654.27,660.21
10/05/2017,660.21,673.34,659.45,675.07
11/05/2017,674.38,671.95,669.75,680.99
12/05/2017,675.52,669.06,665.76,675.52
15/05/2017,670.86,665.49,660.96,671.63
16/05/2017,666.16,671.8,664.57,682.01
17/05/2017,671.61,669.82,667.67,675.99
18/05/2017,667.05,657.27,655.41,669.63
19/05/2017,663.19,653.03,649.37,663.19
22/05/2017,655.04,655.63,651.32,660.39
